state,Population2020,CrimeReported,CrimeRate,CrimeViolent,CrimeViolentRate,CrimeNonViolent,CrimeNonViolentRate,PovertyRatesPopulationBelowPovertyLevel,PovertyRatesPercentOfPopulationBelowPovertyLevel,LiteracyRatesPercofPopulationWithLowLiteracy,LiteracyRatesPercof4thGradersBelowBasicReadingLevel
Alabama,4921532,26596,4727.065,22322,453.558,210322,4273.507,794326,16.1,23.9,41
Alaska,731158,10647,5358.896,6126,837.849,33056,4521.047,75165,10.5,12.7,49
Arizona,7421401,40435,4940.118,35980,484.814,330646,4455.304,908961,12.8,23.4,39
Arkansas,3030522,25590,5898.753,20363,671.93,158400,5226.822,480153,16.3,23.1,42
California,39368078,178304,4719.9,174026,442.049,1684108,4277.852,4733036,12.3,28.4,42
Colorado,5807719,30238,6090.756,24570,423.058,329164,5667.698,553272,9.7,16.6,32
Connecticut,3557006,9589,3311.746,6459,181.585,111340,3130.161,354166,10.1,17.2,36
Delaware,986809,8185,4354.642,4262,431.897,38710,3922.745,113450,11.6,20.3,47
Florida,21733312,86907,3922.458,83368,383.595,769112,3538.862,2805433,13.1,23.7,29
Georgia,10710017,46865,4414.802,42850,400.093,429976,4014.709,1476348,14,23.6,39
Hawaii,1407006,8399,5076.88,3576,254.157,67856,4822.723,156735,11.2,15.9,36
Idaho,1826913,6656,2466.346,4432,242.595,40626,2223.751,205702,11,16.4,39
Illinois,12587530,56731,3544.667,53612,425.914,392574,3118.753,1498523,12.1,20.4,38
Indiana,6754953,27727,3924.039,24161,357.678,240906,3566.361,803021,12.2,18.7,37
Iowa,3163561,12997,3699.976,9601,303.487,107450,3396.489,344696,11.1,14.9,36
Kansas,2913805,16783,4823.212,12385,425.046,128154,4398.167,333518,11.7,16.9,40
Kentucky,4477251,15159,3818.102,11600,259.088,159346,3559.014,721878,16.5,21.9,38
Louisiana,4645318,35473,6408.216,29704,639.44,267978,5768.776,883236,19.6,27.1,43
Maine,1350141,3778,2420.932,1466,108.581,31220,2312.351,154117,11.5,13.4,40
Maryland,6055802,27435,3619.488,24215,399.864,194974,3219.623,618372,10.3,20,44
Massachusetts,6893574,23394,2415.177,21288,308.809,145204,2106.367,700138,10.4,17.3,30
Michigan,9966555,50363,3199.772,47641,478.009,271266,2721.763,1286329,13.1,17.6,42
Minnesota,5657342,19948,4527.25,15698,277.48,240424,4249.77,519731,9.3,13.1,39
Mississippi,2966786,12841,4494.426,8638,291.157,124702,4203.269,554152,19.4,28,37
Missouri,6151548,38447,5604.784,33385,542.709,311396,5062.075,761311,12.7,18.9,40
Montana,1080577,9319,4711.464,5077,469.842,45834,4241.623,128123,11.9,13.1,35
Nebraska,1937552,10291,4152.405,6473,334.081,73982,3818.323,205852,10.8,16.4,35
Nevada,3138259,18298,4313.506,14445,460.287,120924,3853.219,437385,14.1,15.3,43
New Hampshire,1366275,4198,2344.184,2000,146.383,30028,2197.801,97403,7.2,11.5,33
New Jersey,8882371,19669,2511.751,17353,195.365,205750,2316.386,930602,10.2,20.7,33
New Mexico,2106319,22077,6462.032,16393,778.277,119718,5683.754,382798,18.4,29.1,52
New York,19336776,73160,3185.2,70339,363.758,545576,2821.442,2688587,13.9,24.4,42
North Carolina,10600823,48904,4872.292,44451,419.317,472052,4452.975,1378621,13.4,21.3,39
North Dakota,765309,6766,4577.236,2518,329.017,32512,4248.219,83350,11.1,13.4,35
Ohio,11693217,39805,4009.418,36104,308.76,432726,3700.658,1536524,13.4,17.7,35
Oklahoma,3980783,23666,5869.825,18255,458.578,215410,5411.247,606782,15.6,20.1,45
Oregon,4241507,17698,5609.893,12380,291.877,225564,5318.016,507829,12.2,16.8,44
Pennsylvania,12783254,53081,3677.679,49793,389.517,420334,3288.161,1519032,12.1,18.1,36
Rhode Island,1057125,4931,2721.722,2440,230.815,26332,2490.907,120055,11.4,20.4,38
South Carolina,5218040,33133,5972.837,27691,530.678,283974,5442.158,741652,14.6,22.4,39
South Dakota,892717,8389,4414.837,4476,501.391,34936,3913.446,106548,12.3,14.9,35
Tennessee,6886834,51314,5658.304,46328,672.704,343350,4985.6,927587,13.6,21.7,41
Texas,29360759,135574,4936.535,131084,446.46,1318320,4490.075,4122538,14.2,28.2,42
Utah,3249879,13400,5189.516,8471,260.656,160182,4928.86,281673,8.6,14.5,33
Vermont,623347,3515,2607.376,1081,173.419,15172,2433.957,63720,10.3,12.8,38
Virginia,8590563,20838,3121.483,17925,208.659,250228,2912.824,854145,10.2,18.8,40
Washington,7693612,28061,5758.57,22596,293.698,420446,5464.871,754315,9.9,16.1,39
West Virginia,1784787,9151,3154.662,6352,355.897,49952,2798.765,291930,16.8,20.9,48
Wisconsin,5832655,21832,3294.709,18861,323.369,173308,2971.34,621125,10.8,15.3,37
Wyoming,582328,4585,3455.441,1364,234.232,18758,3221.209,64224,11.4,13.6,29
